issue_label,year,region,primary_parties,allies,adversaries,trigger_event,escalation_level,probability_estimate,confidence,humanitarian_impact,economic_impact,cyber_domain,nuclear_risk,narrative,data_origin,notes
Taiwan Strait Stability,2025,Latin America,North Korea; South Korea,Regional Allies,Hybrid Threats,Border incident,Moderate,0.387,High,Mass displacement,Localized shock,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,East Asia,India; Pakistan,NATO,Opposing Coalition,Maritime confrontation,Severe,0.727,High,Mass displacement,Energy price spike,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Middle East,North Korea; South Korea,UN Mediation,Non-State Actors,Border incident,High,0.794,Medium,Regional displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Non-State Actors,Maritime confrontation,High,0.61,Medium,Humanitarian crisis,Global market impact,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Latin America,Venezuela; United States,Coalition B,Hybrid Threats,Maritime confrontation,Severe,0.602,High,Mass displacement,Regional recession,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,South Asia,North Korea; South Korea,Regional Allies,State Actors,Cyber attack,Low,0.067,Medium,Humanitarian crisis,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,China; Taiwan,Coalition B,Opposing Coalition,Maritime confrontation,Moderate,0.399,Low,Humanitarian crisis,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Middle East,China; Taiwan,Coalition B,Opposing Coalition,Airspace violation,Moderate,0.344,Medium,Localized displacement,Regional recession,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,State Actors,Cyber attack,High,0.725,Low,Mass displacement,Global market impact,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Eastern Europe,India; Pakistan,Non-Aligned,State Actors,Cyber attack,Severe,0.666,Medium,Localized displacement,Localized shock,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,Opposing Coalition,Maritime confrontation,Low,0.564,Medium,Regional displacement,Global market impact,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,State Actors,Cyber attack,Low,0.119,High,Localized displacement,Global market impact,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Middle East,India; Pakistan,UN Mediation,Hybrid Threats,Border incident,Severe,0.048,Low,Regional displacement,Global market impact,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Latin America,India; Pakistan,Regional Allies,Non-State Actors,Sanctions escalation,Low,0.736,Medium,Mass displacement,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Latin America,China; Taiwan,Coalition B,Opposing Coalition,Proxy conflict,High,0.277,Medium,Mass displacement,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,East Asia,China; Taiwan,UN Mediation,State Actors,Airspace violation,High,0.636,Low,Regional displacement,Energy price spike,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,South Asia,Russia; Ukraine,Regional Allies,State Actors,Maritime confrontation,High,0.029,Low,Humanitarian crisis,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Middle East,Venezuela; United States,NATO,State Actors,Sanctions escalation,Moderate,0.314,Medium,Localized displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Eastern Europe,Venezuela; United States,UN Mediation,Opposing Coalition,Maritime confrontation,Low,0.301,Low,Localized displacement,Energy price spike,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Latin America,Russia; Ukraine,Coalition B,Opposing Coalition,Sanctions escalation,Moderate,0.759,Low,Humanitarian crisis,Regional recession,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,State Actors,Proxy conflict,Moderate,0.415,Medium,Humanitarian crisis,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,Russia; Ukraine,Coalition B,Opposing Coalition,Sanctions escalation,Low,0.521,Low,Regional displacement,Global market impact,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Eastern Europe,China; Taiwan,Coalition B,Opposing Coalition,Cyber attack,Low,0.211,Low,Mass displacement,Global market impact,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,South Asia,Russia; Ukraine,Non-Aligned,Opposing Coalition,Sanctions escalation,Low,0.594,Low,Mass displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Latin America,Venezuela; United States,NATO,Hybrid Threats,Cyber attack,Moderate,0.525,High,Humanitarian crisis,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Eastern Europe,North Korea; South Korea,UN Mediation,Opposing Coalition,Cyber attack,Low,0.648,High,Regional displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,South Asia,Venezuela; United States,Non-Aligned,Opposing Coalition,Sanctions escalation,Low,0.057,Low,Localized displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,East Asia,North Korea; South Korea,NATO,Non-State Actors,Sanctions escalation,Moderate,0.473,High,Regional displacement,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,South Asia,North Korea; South Korea,UN Mediation,Non-State Actors,Airspace violation,Low,0.669,High,Regional displacement,Energy price spike,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Middle East,India; Pakistan,Coalition B,Opposing Coalition,Sanctions escalation,Low,0.018,Medium,Localized displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,North Korea; South Korea,Regional Allies,Non-State Actors,Proxy conflict,Severe,0.748,Low,Localized displacement,Localized shock,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Middle East,Russia; Ukraine,Coalition B,State Actors,Border incident,Low,0.658,Medium,Localized displacement,Global market impact,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,East Asia,North Korea; South Korea,Coalition A,State Actors,Border incident,Moderate,0.259,High,Mass displacement,Global market impact,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,Russia; Ukraine,Coalition B,Non-State Actors,Proxy conflict,Moderate,0.412,Low,Humanitarian crisis,Regional recession,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,South Asia,India; Pakistan,Regional Allies,State Actors,Proxy conflict,Low,0.331,Medium,Localized displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,South Asia,Russia; Ukraine,Regional Allies,State Actors,Proxy conflict,Severe,0.557,Medium,Humanitarian crisis,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,State Actors,Sanctions escalation,High,0.812,High,Humanitarian crisis,Global market impact,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Middle East,China; Taiwan,UN Mediation,Hybrid Threats,Airspace violation,High,0.617,High,Regional displacement,Global market impact,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,East Asia,Russia; Ukraine,Non-Aligned,State Actors,Maritime confrontation,Severe,0.018,Low,Regional displacement,Regional recession,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
